,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,2020-02-21T13:03:09,62662,2144,11881
1,Guangdong,Mainland China,2020-02-21T10:13:09,1333,5,690
2,Henan,Mainland China,2020-02-21T13:43:02,1267,19,736
3,Zhejiang,Mainland China,2020-02-21T10:23:02,1203,1,679
4,Hunan,Mainland China,2020-02-21T15:13:07,1011,4,661
5,Anhui,Mainland China,2020-02-21T10:13:09,988,6,539
6,Jiangxi,Mainland China,2020-02-21T01:13:05,934,1,489
7,Shandong,Mainland China,2020-02-21T10:23:02,749,4,281
8,Diamond Princess cruise ship,Others,2020-02-20T15:53:03,634,2,1
9,Jiangsu,Mainland China,2020-02-21T11:43:01,631,0,373
10,Chongqing,Mainland China,2020-02-21T23:13:14,572,6,316
11,Sichuan,Mainland China,2020-02-21T12:53:01,525,3,231
12,Heilongjiang,Mainland China,2020-02-21T11:43:01,479,12,175
13,Beijing,Mainland China,2020-02-21T01:03:09,396,4,169
14,Shanghai,Mainland China,2020-02-21T05:53:01,334,2,211
15,Hebei,Mainland China,2020-02-21T12:53:01,308,5,184
16,Fujian,Mainland China,2020-02-21T11:43:01,293,1,149
17,Guangxi,Mainland China,2020-02-21T11:43:01,246,2,97
18,Shaanxi,Mainland China,2020-02-21T11:43:01,245,1,134
19,,South Korea,2020-02-21T13:43:02,204,2,16
20,Yunnan,Mainland China,2020-02-21T06:23:04,174,2,96
21,Hainan,Mainland China,2020-02-21T10:13:09,168,4,95
22,Guizhou,Mainland China,2020-02-21T12:53:01,146,2,77
23,Shanxi,Mainland China,2020-02-21T23:33:06,132,0,78
24,Tianjin,Mainland China,2020-02-21T12:53:01,132,3,62
25,Liaoning,Mainland China,2020-02-21T01:33:02,121,1,61
26,,Japan,2020-02-21T19:03:06,105,1,22
27,Gansu,Mainland China,2020-02-21T15:13:07,91,2,76
28,Jilin,Mainland China,2020-02-21T10:13:09,91,1,45
29,,Singapore,2020-02-21T03:43:02,85,0,37
30,Xinjiang,Mainland China,2020-02-21T13:43:02,76,1,24
31,Inner Mongolia,Mainland China,2020-02-21T08:03:15,75,0,17
32,Ningxia,Mainland China,2020-02-21T06:23:04,71,0,48
33,Hong Kong,Hong Kong,2020-02-21T03:43:02,68,2,5
34,,Thailand,2020-02-21T18:53:02,35,0,17
35,Taiwan,Taiwan,2020-02-21T06:53:03,26,1,2
36,,Malaysia,2020-02-19T09:33:03,22,0,15
37,,Italy,2020-02-21T23:33:06,20,1,0
38,,Iran,2020-02-21T18:53:02,18,4,0
39,Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
40,,Germany,2020-02-21T23:03:13,16,0,14
41,,Vietnam,2020-02-21T06:03:04,16,0,14
42,,France,2020-02-15T20:53:02,12,1,4
43,"Ashland, NE",US,2020-02-21T23:23:06,11,0,0
44,Macau,Macau,2020-02-20T02:13:19,10,0,6
45,,UK,2020-02-16T16:23:06,9,0,8
46,,United Arab Emirates,2020-02-16T20:43:02,9,0,4
47,British Columbia,Canada,2020-02-21T05:23:04,6,0,0
48,Queensland,Australia,2020-02-21T05:43:02,5,0,1
49,"Travis, CA",US,2020-02-21T23:23:06,5,0,0
50,From Diamond Princess,Australia,2020-02-21T23:03:13,4,0,0
51,New South Wales,Australia,2020-02-13T17:53:03,4,0,4
52,Victoria,Australia,2020-02-13T17:53:03,4,0,4
53,,India,2020-02-16T07:43:02,3,0,3
54,,Philippines,2020-02-12T07:43:02,3,1,1
55,South Australia,Australia,2020-02-17T08:13:09,2,0,2
56,"Toronto, ON",Canada,2020-02-21T05:23:04,2,0,2
57,,Russia,2020-02-12T14:43:03,2,0,2
58,,Spain,2020-02-15T17:23:04,2,0,2
59,"Chicago, IL",US,2020-02-09T19:03:03,2,0,2
60,"Lackland, TX",US,2020-02-21T23:23:06,2,0,0
61,"San Benito, CA",US,2020-02-03T03:53:02,2,0,0
62,"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1
63,"Santa Clara, CA",US,2020-02-21T05:23:04,2,0,1
64,,Belgium,2020-02-17T04:23:06,1,0,1
65,,Cambodia,2020-02-12T07:43:02,1,0,1
66,"London, ON",Canada,2020-02-12T18:53:03,1,0,1
67,,Egypt,2020-02-21T18:53:02,1,0,0
68,,Finland,2020-02-12T00:03:12,1,0,1
69,From Diamond Princess,Israel,2020-02-21T15:33:03,1,0,0
70,None,Lebanon,2020-02-21T15:33:03,1,0,0
71,Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
72,,Nepal,2020-02-12T14:43:03,1,0,1
73,,Sri Lanka,2020-02-08T03:43:03,1,0,1
74,,Sweden,2020-02-01T02:13:26,1,0,0
75,"Boston, MA",US,2020-02-01T19:43:03,1,0,0
76,"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0
77,"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0
78,"Madison, WI",US,2020-02-05T21:53:02,1,0,0
79,"Orange, CA",US,2020-02-01T19:53:03,1,0,0
80,"Sacramento County, CA",US,2020-02-21T23:13:16,1,0,0
81,"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0
82,"Seattle, WA",US,2020-02-09T07:03:04,1,0,1
83,"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0
