,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-24,France,2.0,2.0,,0.0,1.0,,,,,
1,2020-01-25,France,3.0,1.0,,1.5,1.0,,,,,
2,2020-01-26,France,3.0,0.0,,1.0,1.0,,,,,
3,2020-01-27,France,3.0,0.0,,1.0,1.0,,,,,
4,2020-01-28,France,4.0,1.0,,1.3330000000000002,1.0,,,,,
5,2020-01-29,France,5.0,1.0,,1.25,1.014,,,,,
6,2020-01-30,France,5.0,0.0,1.0,1.0,1.012,,,,,
7,2020-01-31,France,5.0,0.0,0.0,1.0,1.155,,,0.0,,
8,2020-02-01,France,6.0,1.0,0.0,1.2,1.112,,,0.0,,
9,2020-02-02,France,6.0,0.0,0.0,1.0,1.112,,,0.0,,
10,2020-02-03,France,6.0,0.0,0.0,1.0,1.112,,,0.0,,
11,2020-02-04,France,6.0,0.0,0.0,1.0,1.064,,,0.0,,
12,2020-02-05,France,6.0,0.0,0.0,1.0,1.0290000000000001,,,0.0,,
13,2020-02-06,France,6.0,0.0,0.0,1.0,1.0290000000000001,,,0.0,,
14,2020-02-07,France,8.0,2.0,0.0,1.3330000000000002,1.0759999999999998,,,0.0,,
15,2020-02-08,France,11.0,3.0,1.0,1.375,1.101,,,1.0,,
16,2020-02-09,France,11.0,0.0,1.0,1.0,1.101,,,1.0,,
17,2020-02-10,France,11.0,0.0,1.0,1.0,1.101,,,1.0,,
18,2020-02-11,France,11.0,0.0,1.0,1.0,1.101,,,1.0,,
19,2020-02-12,France,11.0,0.0,1.0,1.0,1.101,,,1.0,,
20,2020-02-13,France,11.0,0.0,1.0,1.0,1.101,,,1.0,,
21,2020-02-14,France,11.0,0.0,0.0,1.0,1.054,,,0.0,,
22,2020-02-15,France,11.0,0.0,0.0,1.0,1.0,,,0.0,,
23,2020-02-16,France,12.0,1.0,0.0,1.091,1.013,,,0.0,,
24,2020-02-17,France,12.0,0.0,0.0,1.0,1.013,,,0.0,,
25,2020-02-18,France,12.0,0.0,0.0,1.0,1.013,,,0.0,,
26,2020-02-19,France,12.0,0.0,0.0,1.0,1.013,,,0.0,,
27,2020-02-20,France,12.0,0.0,0.0,1.0,1.013,,,0.0,,
28,2020-02-21,France,12.0,0.0,0.0,1.0,1.013,,,0.0,,
29,2020-02-22,France,12.0,0.0,0.0,1.0,1.013,,,0.0,,
30,2020-02-23,France,12.0,0.0,0.0,1.0,1.0,,,0.0,,
31,2020-02-24,France,13.0,1.0,0.0,1.083,1.012,,,0.0,,
32,2020-02-25,France,14.0,1.0,0.0,1.077,1.023,,,0.0,,
33,2020-02-26,France,18.0,4.0,1.0,1.286,1.064,,,1.0,,
34,2020-02-27,France,38.0,20.0,4.0,2.1109999999999998,1.222,,,4.0,,
35,2020-02-28,France,57.0,19.0,6.0,1.5,1.294,,,6.0,,
36,2020-02-29,France,100.0,43.0,13.0,1.754,1.402,,,13.0,,
37,2020-03-01,France,130.0,30.0,17.0,1.3,1.444,,,17.0,,
38,2020-03-02,France,191.0,61.0,25.0,1.469,1.5,,,25.0,,
39,2020-03-03,France,238.0,47.0,32.0,1.246,1.524,,,32.0,,
40,2020-03-04,France,285.0,47.0,38.0,1.197,1.511,,,38.0,,
41,2020-03-05,France,377.0,92.0,48.0,1.3230000000000002,1.3980000000000001,,,48.0,,
42,2020-03-06,France,653.0,276.0,85.0,1.732,1.432,,,85.0,,
43,2020-03-07,France,949.0,296.0,121.0,1.453,1.389,,,121.0,,
44,2020-03-08,France,1126.0,177.0,142.0,1.187,1.3719999999999999,,,142.0,,
45,2020-03-09,France,1455.0,329.0,181.0,1.2919999999999998,1.347,,,181.0,,
46,2020-03-10,France,1784.0,329.0,221.0,1.226,1.344,,,221.0,,
47,2020-03-11,France,2284.0,499.0,285.0,1.28,1.3559999999999999,,,286.0,,
48,2020-03-12,France,2974.0,690.0,371.0,1.3019999999999998,1.3530000000000002,,,371.0,,
49,2020-03-13,France,3667.0,693.0,430.0,1.2329999999999999,1.2819999999999998,,,431.0,,
50,2020-03-14,France,4481.0,809.0,504.0,1.222,1.249,,,505.0,,
51,2020-03-15,France,5566.0,1085.0,633.0,1.242,1.2570000000000001,,,634.0,,
52,2020-03-16,France,6655.0,1086.0,742.0,1.196,1.2429999999999999,,,743.0,,
53,2020-03-17,France,7694.0,1028.0,841.0,1.156,1.2329999999999999,,,844.0,,
54,2020-03-18,France,9086.0,1373.0,966.0,1.181,1.219,,,972.0,,
55,2020-03-19,France,10892.0,1806.0,1126.0,1.199,1.204,,,1131.0,,
56,2020-03-20,France,12693.0,1754.0,1277.0,1.165,1.194,,,1289.0,,
57,2020-03-21,France,14415.0,1688.0,1403.0,1.136,1.182,,,1419.0,,
58,2020-03-22,France,16175.0,1744.0,1497.0,1.122,1.165,,,1516.0,,
59,2020-03-23,France,20125.0,3908.0,1900.0,1.244,1.172,,,1924.0,,
60,2020-03-24,France,22630.0,2505.0,2111.0,1.124,1.167,,,2134.0,,
61,2020-03-25,France,25602.0,2972.0,2340.0,1.131,1.16,,,2359.0,,
62,2020-03-26,France,29566.0,3964.0,2648.0,1.155,1.1540000000000001,,,2668.0,,
63,2020-03-27,France,33429.0,3863.0,2949.0,1.131,1.149,,,2962.0,,
64,2020-03-28,France,38105.0,4676.0,3376.0,1.14,1.15,46910.0,,3384.0,,
65,2020-03-29,France,41635.0,3530.0,3631.0,1.093,1.145,47613.0,703.0,3637.0,1.015,
66,2020-03-30,France,46792.0,5157.0,3810.0,1.124,1.128,50761.0,3148.0,3810.0,1.066,
