,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2019-12-31,China,27.0,27.0,,0.0,,0,,,1.0,
1,2020-01-01,China,27.0,0.0,,1.0,,0,0.0,,0.0,
2,2020-01-02,China,34.0,7.0,,1.2590000000000001,,0,0.0,,0.0,
3,2020-01-03,China,41.0,7.0,,1.206,,0,0.0,,0.0,
4,2020-01-04,China,41.0,0.0,,1.0,,0,0.0,,0.0,
5,2020-01-05,China,41.0,0.0,,1.0,,0,0.0,,0.0,
6,2020-01-06,China,41.0,0.0,6.0,1.0,1.0,0,0.0,,0.0,1.0
7,2020-01-07,China,41.0,0.0,2.0,1.0,1.0659999999999998,0,0.0,2.0,0.0,1.0
8,2020-01-08,China,41.0,0.0,2.0,1.0,1.0659999999999998,0,0.0,2.0,0.0,1.0
9,2020-01-09,China,42.0,1.0,1.0,1.024,1.033,0,0.0,1.0,0.0,1.0
10,2020-01-10,China,44.0,2.0,0.0,1.048,1.01,0,0.0,0.0,0.0,1.0
11,2020-01-11,China,44.0,0.0,0.0,1.0,1.01,0,0.0,0.0,0.0,1.0
12,2020-01-12,China,44.0,0.0,0.0,1.0,1.01,0,0.0,0.0,0.0,1.0
13,2020-01-13,China,44.0,0.0,0.0,1.0,1.01,0,0.0,0.0,0.0,1.0
14,2020-01-14,China,44.0,0.0,0.0,1.0,1.01,0,0.0,0.0,0.0,1.0
15,2020-01-15,China,44.0,0.0,0.0,1.0,1.01,43,43.0,0.0,0.0,1.0
16,2020-01-16,China,53.0,9.0,2.0,1.205,1.036,130,87.0,2.0,3.023,1.0
17,2020-01-17,China,62.0,9.0,3.0,1.17,1.054,241,111.0,3.0,1.854,1.0
18,2020-01-18,China,121.0,59.0,11.0,1.952,1.19,383,142.0,11.0,1.589,1.0
19,2020-01-19,China,198.0,77.0,22.0,1.636,1.28,563,180.0,22.0,1.47,1.134
20,2020-01-20,China,291.0,93.0,35.0,1.47,1.348,792,229.0,35.0,1.407,1.335
21,2020-01-21,China,440.0,149.0,57.0,1.5119999999999998,1.421,1083,291.0,57.0,1.367,1.53
22,2020-01-22,China,547.0,107.0,72.0,1.2429999999999999,1.455,1450,367.0,72.0,1.339,1.721
23,2020-01-23,China,695.0,148.0,92.0,1.271,1.465,1912,462.0,92.0,1.319,1.478
24,2020-01-24,China,925.0,230.0,123.0,1.331,1.4880000000000002,2492,580.0,123.0,1.303,1.399
