,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-24,France,2.0,2.0,,0.0,1.0,0,,,1.0,
1,2020-01-25,France,3.0,1.0,,1.5,1.0,0,0.0,,0.0,
2,2020-01-26,France,3.0,0.0,,1.0,1.0,0,0.0,,0.0,
3,2020-01-27,France,3.0,0.0,,1.0,1.0,0,0.0,,0.0,
4,2020-01-28,France,4.0,1.0,,1.3330000000000002,1.0,0,0.0,,0.0,
5,2020-01-29,France,5.0,1.0,,1.25,1.016,0,0.0,,0.0,
6,2020-01-30,France,5.0,0.0,1.0,1.0,1.012,0,0.0,,0.0,1.0
7,2020-01-31,France,5.0,0.0,0.0,1.0,1.155,0,0.0,0.0,0.0,1.0
8,2020-02-01,France,6.0,1.0,0.0,1.2,1.112,0,0.0,0.0,0.0,1.0
9,2020-02-02,France,6.0,0.0,0.0,1.0,1.112,0,0.0,0.0,0.0,1.0
10,2020-02-03,France,6.0,0.0,0.0,1.0,1.112,0,0.0,0.0,0.0,1.0
11,2020-02-04,France,6.0,0.0,0.0,1.0,1.064,0,0.0,0.0,0.0,1.0
12,2020-02-05,France,6.0,0.0,0.0,1.0,1.0290000000000001,0,0.0,0.0,0.0,1.0
13,2020-02-06,France,6.0,0.0,0.0,1.0,1.0290000000000001,0,0.0,0.0,0.0,1.0
14,2020-02-07,France,8.0,2.0,0.0,1.3330000000000002,1.0759999999999998,0,0.0,0.0,0.0,1.0
15,2020-02-08,France,11.0,3.0,1.0,1.375,1.101,0,0.0,1.0,0.0,1.0
16,2020-02-09,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
17,2020-02-10,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
18,2020-02-11,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
19,2020-02-12,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
20,2020-02-13,France,11.0,0.0,1.0,1.0,1.101,0,0.0,1.0,0.0,1.0
21,2020-02-14,France,11.0,0.0,0.0,1.0,1.054,0,0.0,0.0,0.0,1.0
22,2020-02-15,France,11.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0
23,2020-02-16,France,12.0,1.0,0.0,1.091,1.013,0,0.0,0.0,0.0,1.0
24,2020-02-17,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
25,2020-02-18,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
26,2020-02-19,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
27,2020-02-20,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
28,2020-02-21,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
29,2020-02-22,France,12.0,0.0,0.0,1.0,1.013,0,0.0,0.0,0.0,1.0
30,2020-02-23,France,12.0,0.0,0.0,1.0,1.0,16,16.0,0.0,0.0,1.0
31,2020-02-24,France,13.0,1.0,0.0,1.083,1.012,62,46.0,0.0,3.875,1.0
32,2020-02-25,France,14.0,1.0,0.0,1.077,1.023,114,52.0,0.0,1.839,1.0
33,2020-02-26,France,18.0,4.0,1.0,1.286,1.064,173,59.0,1.0,1.518,1.033
34,2020-02-27,France,38.0,20.0,4.0,2.1109999999999998,1.222,241,68.0,4.0,1.393,1.232
35,2020-02-28,France,57.0,19.0,6.0,1.5,1.294,319,78.0,6.0,1.324,1.421
36,2020-02-29,France,100.0,43.0,13.0,1.754,1.402,408,89.0,13.0,1.279,1.604
37,2020-03-01,France,130.0,30.0,17.0,1.3,1.444,509,101.0,17.0,1.248,1.782
38,2020-03-02,France,191.0,61.0,25.0,1.469,1.5,624,115.0,25.0,1.226,1.404
39,2020-03-03,France,238.0,47.0,32.0,1.246,1.524,756,132.0,32.0,1.212,1.314
40,2020-03-04,France,285.0,47.0,38.0,1.197,1.511,907,151.0,38.0,1.2,1.269
41,2020-03-05,France,377.0,92.0,48.0,1.3230000000000002,1.3980000000000001,1079,172.0,48.0,1.19,1.24
42,2020-03-06,France,653.0,276.0,85.0,1.732,1.432,1275,196.0,85.0,1.182,1.22
43,2020-03-07,France,949.0,296.0,121.0,1.453,1.389,1500,225.0,121.0,1.176,1.205
44,2020-03-08,France,1126.0,177.0,142.0,1.187,1.3719999999999999,1756,256.0,142.0,1.171,1.194
45,2020-03-09,France,1455.0,329.0,181.0,1.2919999999999998,1.347,2048,292.0,181.0,1.166,1.185
46,2020-03-10,France,1784.0,329.0,221.0,1.226,1.344,2382,334.0,221.0,1.163,1.178
47,2020-03-11,France,2284.0,499.0,285.0,1.28,1.3559999999999999,2763,381.0,286.0,1.16,1.173
48,2020-03-12,France,2974.0,690.0,371.0,1.3019999999999998,1.3530000000000002,3198,435.0,371.0,1.157,1.168
49,2020-03-13,France,3667.0,693.0,430.0,1.2329999999999999,1.2819999999999998,3695,497.0,431.0,1.155,1.164
50,2020-03-14,France,4481.0,809.0,504.0,1.222,1.249,4263,568.0,505.0,1.154,1.161
51,2020-03-15,France,5566.0,1085.0,633.0,1.242,1.2570000000000001,4910,647.0,634.0,1.152,1.158
52,2020-03-16,France,6655.0,1086.0,742.0,1.196,1.2429999999999999,5650,740.0,743.0,1.151,1.156
53,2020-03-17,France,7694.0,1028.0,841.0,1.156,1.2329999999999999,6494,844.0,844.0,1.149,1.154
