,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,2020-02-13T14:13:06,48206,1310,3459
1,Guangdong,Mainland China,2020-02-13T13:33:01,1241,2,314
2,Henan,Mainland China,2020-02-13T14:53:02,1169,10,296
3,Zhejiang,Mainland China,2020-02-13T14:13:06,1145,0,360
4,Hunan,Mainland China,2020-02-13T11:53:02,968,2,339
5,Anhui,Mainland China,2020-02-13T13:33:01,910,5,157
6,Jiangxi,Mainland China,2020-02-13T01:13:08,872,1,170
7,Jiangsu,Mainland China,2020-02-13T10:33:23,570,0,139
8,Chongqing,Mainland China,2020-02-13T23:23:05,529,4,128
9,Shandong,Mainland China,2020-02-13T13:33:01,509,2,105
10,Sichuan,Mainland China,2020-02-13T13:33:01,451,1,104
11,Heilongjiang,Mainland China,2020-02-13T12:13:06,395,9,33
12,Beijing,Mainland China,2020-02-13T14:13:06,366,3,69
13,Shanghai,Mainland China,2020-02-13T06:13:15,315,1,62
14,Fujian,Mainland China,2020-02-13T10:33:23,279,0,57
15,Hebei,Mainland China,2020-02-13T10:33:23,265,3,68
16,Shaanxi,Mainland China,2020-02-13T10:33:23,229,0,46
17,Guangxi,Mainland China,2020-02-13T00:23:10,222,2,33
18,Diamond Princess cruise ship,Others,2020-02-12T04:23:38,175,0,0
19,Hainan,Mainland China,2020-02-13T10:43:03,157,4,30
20,Yunnan,Mainland China,2020-02-13T08:43:08,156,0,27
21,Guizhou,Mainland China,2020-02-13T10:33:23,135,1,27
22,Shanxi,Mainland China,2020-02-13T23:23:05,126,0,36
23,Tianjin,Mainland China,2020-02-13T23:43:02,119,3,21
24,Liaoning,Mainland China,2020-02-13T14:33:02,117,1,22
25,Gansu,Mainland China,2020-02-13T15:53:03,90,2,39
26,Jilin,Mainland China,2020-02-13T13:33:01,84,1,24
27,Ningxia,Mainland China,2020-02-13T01:23:08,64,0,24
28,Xinjiang,Mainland China,2020-02-13T10:33:23,63,1,6
29,Inner Mongolia,Mainland China,2020-02-13T01:23:08,61,0,6
30,,Singapore,2020-02-13T14:33:02,58,0,15
31,Hong Kong,Hong Kong,2020-02-13T14:53:02,53,1,1
32,,Thailand,2020-02-13T17:53:03,33,0,12
33,,Japan,2020-02-13T12:23:05,28,1,9
34,,South Korea,2020-02-12T14:43:03,28,0,7
35,,Malaysia,2020-02-13T10:53:02,19,0,3
36,Qinghai,Mainland China,2020-02-13T08:43:08,18,0,11
37,Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1
38,,Germany,2020-02-13T15:13:11,16,0,1
39,,Vietnam,2020-02-13T06:33:02,16,0,7
40,,France,2020-02-12T18:53:02,11,0,2
41,Macau,Macau,2020-02-13T14:13:06,10,0,3
42,,UK,2020-02-12T19:03:06,9,0,1
43,,United Arab Emirates,2020-02-12T00:33:02,8,0,1
44,Queensland,Australia,2020-02-09T19:33:02,5,0,0
45,New South Wales,Australia,2020-02-13T17:53:03,4,0,4
46,Victoria,Australia,2020-02-13T17:53:03,4,0,4
47,British Columbia,Canada,2020-02-07T05:43:03,4,0,0
48,,India,2020-02-13T18:53:02,3,0,0
49,,Italy,2020-02-07T17:53:02,3,0,0
50,,Philippines,2020-02-12T07:43:02,3,1,1
51,South Australia,Australia,2020-02-02T22:33:07,2,0,0
52,"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
53,,Russia,2020-02-12T14:43:03,2,0,2
54,,Spain,2020-02-09T20:33:03,2,0,0
55,"Chicago, IL",US,2020-02-09T19:03:03,2,0,2
56,"San Benito, CA",US,2020-02-03T03:53:02,2,0,0
57,"San Diego County, CA",US,2020-02-13T03:13:08,2,0,0
58,"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0
59,,Belgium,2020-02-04T15:43:02,1,0,0
60,,Cambodia,2020-02-12T07:43:02,1,0,1
61,"London, ON",Canada,2020-02-12T18:53:03,1,0,1
62,,Finland,2020-02-12T00:03:12,1,0,1
63,Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
64,,Nepal,2020-02-12T14:43:03,1,0,1
65,,Sri Lanka,2020-02-08T03:43:03,1,0,1
66,,Sweden,2020-02-01T02:13:26,1,0,0
67,"Boston, MA",US,2020-02-01T19:43:03,1,0,0
68,"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0
69,"Madison, WI",US,2020-02-05T21:53:02,1,0,0
70,"Orange, CA",US,2020-02-01T19:53:03,1,0,0
71,"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0
72,"Seattle, WA",US,2020-02-09T07:03:04,1,0,1
73,"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0
