,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,2020-02-09T23:33:02,29631,871,1795
1,Guangdong,Mainland China,2020-02-09T15:03:05,1131,1,141
2,Zhejiang,Mainland China,2020-02-09T12:03:04,1075,0,201
3,Henan,Mainland China,2020-02-09T11:23:08,1033,6,153
4,Hunan,Mainland China,2020-02-09T12:33:01,838,1,186
5,Anhui,Mainland China,2020-02-09T09:33:02,779,1,72
6,Jiangxi,Mainland China,2020-02-09T11:33:12,740,0,73
7,Chongqing,Mainland China,2020-02-09T23:53:02,468,2,51
8,Jiangsu,Mainland China,2020-02-09T10:23:11,468,0,71
9,Shandong,Mainland China,2020-02-09T15:03:05,444,1,63
10,Sichuan,Mainland China,2020-02-09T12:43:01,386,1,71
11,Beijing,Mainland China,2020-02-09T03:43:02,326,2,37
12,Heilongjiang,Mainland China,2020-02-09T08:43:05,307,6,14
13,Shanghai,Mainland China,2020-02-09T06:33:01,293,1,44
14,Fujian,Mainland China,2020-02-09T09:13:11,250,0,35
15,Shaanxi,Mainland China,2020-02-09T03:03:09,208,0,25
16,Hebei,Mainland China,2020-02-09T12:43:01,206,2,34
17,Guangxi,Mainland China,2020-02-09T00:33:07,195,1,18
18,Yunnan,Mainland China,2020-02-09T08:53:02,141,0,18
19,Hainan,Mainland China,2020-02-09T13:33:02,131,3,19
20,Shanxi,Mainland China,2020-02-09T23:43:02,119,0,25
21,Liaoning,Mainland China,2020-02-09T12:23:03,107,0,12
22,Guizhou,Mainland China,2020-02-09T09:53:02,99,1,7
23,Tianjin,Mainland China,2020-02-09T23:43:02,91,1,4
24,Gansu,Mainland China,2020-02-09T23:33:02,83,2,16
25,Jilin,Mainland China,2020-02-09T09:03:04,78,1,12
26,Diamond Princess cruise ship,Others,2020-02-09T06:13:11,64,0,0
27,Inner Mongolia,Mainland China,2020-02-09T02:23:07,54,0,5
28,Ningxia,Mainland China,2020-02-09T02:03:11,45,0,13
29,Xinjiang,Mainland China,2020-02-09T01:23:08,45,0,0
30,,Singapore,2020-02-09T02:43:02,40,0,2
31,,Thailand,2020-02-08T12:53:01,32,0,10
32,Hong Kong,Hong Kong,2020-02-09T09:53:02,29,1,0
33,,Japan,2020-02-09T06:13:11,26,0,1
34,,South Korea,2020-02-09T02:33:02,25,0,3
35,Qinghai,Mainland China,2020-02-06T02:13:15,18,0,3
36,Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1
37,,Malaysia,2020-02-08T10:23:04,16,0,1
38,,Germany,2020-02-09T06:13:11,14,0,0
39,,Vietnam,2020-02-08T07:23:04,13,0,1
40,,France,2020-02-08T09:53:01,11,0,0
41,Macau,Macau,2020-02-06T14:23:04,10,0,1
42,,United Arab Emirates,2020-02-08T07:03:16,7,0,0
43,Queensland,Australia,2020-02-09T19:33:02,5,0,0
44,New South Wales,Australia,2020-02-06T03:13:22,4,0,2
45,Victoria,Australia,2020-02-01T18:12:49,4,0,0
46,British Columbia,Canada,2020-02-07T05:43:03,4,0,0
47,,India,2020-02-03T21:43:02,3,0,0
48,,Italy,2020-02-07T17:53:02,3,0,0
49,,Philippines,2020-02-07T16:43:04,3,1,0
50,,UK,2020-02-07T18:33:02,3,0,0
51,South Australia,Australia,2020-02-02T22:33:07,2,0,0
52,"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
53,,Russia,2020-01-31T16:13:45,2,0,0
54,,Spain,2020-02-09T20:33:03,2,0,0
55,"Chicago, IL",US,2020-02-09T19:03:03,2,0,2
56,"San Benito, CA",US,2020-02-03T03:53:02,2,0,0
57,"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0
58,,Belgium,2020-02-04T15:43:02,1,0,0
59,,Cambodia,2020-01-31T08:15:53,1,0,0
60,"London, ON",Canada,2020-02-04T00:03:11,1,0,0
61,,Finland,2020-01-31T08:15:53,1,0,0
62,Tibet,Mainland China,2020-02-01T01:52:40,1,0,0
63,,Nepal,2020-01-31T08:15:53,1,0,0
64,,Sri Lanka,2020-02-08T03:43:03,1,0,1
65,,Sweden,2020-02-01T02:13:26,1,0,0
66,"Boston, MA",US,2020-02-01T19:43:03,1,0,0
67,"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0
68,"Madison, WI",US,2020-02-05T21:53:02,1,0,0
69,"Orange, CA",US,2020-02-01T19:53:03,1,0,0
70,"Seattle, WA",US,2020-02-09T07:03:04,1,0,1
71,"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0
